title,categories,difficulty,hints,series,youtube
Clair Obscur: Expedition 33 ~ Lumière,"Locale, Town & City",Easy,It's almost time for the gommage,Clair Obscur: Expedition 33,https://youtu.be/zmvsw2ILX5k?si=9SOiC_9NU3tWOESN
Clair Obscur: Expedition 33 ~ The Manor - Our Painted Family,Locale,Lunatic,The curator sends his regards,Clair Obscur: Expedition 33,https://youtu.be/RKuO-KGwQ3M?si=O9v0X94XjLN_vsgP
Club Penguin ~ Paris St. Germain - Ice Fishing,"Snowy, Event",Tough,,Club Penguin,https://www.youtube.com/watch?v=dhKAcYPWonE
Club Penguin ~ Pizzatron 3000,Locale,Tough,,Club Penguin,https://www.youtube.com/watch?v=LEZg_5PcUKI
Club Penguin: Elite Penguin Force ~ Beach,Locale,Lunatic,,Club Penguin,https://www.youtube.com/watch?v=XlUQmR5_NdI
Club Penguin: Elite Penguin Force ~ Main Theme,"Screen, Other",Lunatic,,Club Penguin,https://www.youtube.com/watch?v=sXUfrsDPQis
Club Penguin: Elite Penguin Force ~ Outdoors Theme,Locale,Lunatic,,Club Penguin,https://www.youtube.com/watch?v=TNh1iGgvYxo
Club Penguin: Game Day! ~ Feed-a-Puffle,Event,Merciless,,Club Penguin,https://www.youtube.com/watch?v=qPUkA_5tmeo
Club Penguin: Game Day! ~ Icy Groove,"Event, Snowy",Merciless,,Club Penguin,https://www.youtube.com/watch?v=ThQE_Jw55Uk
Club Penguin: Game Day! ~ Title Screen,"Screen, Other",Lunatic,,Club Penguin,https://www.youtube.com/watch?v=_0jiMQa-Vew
Clubhouse Games: 51 Worldwide Classics ~ Four-in-a-Row,Event,Merciless,,Nintendo,https://youtu.be/GdIdRZWqHpg?si=5431-h9Fa9uWWbdm
Crash Bandicoot ~ Dr. Neo Cortex,"Battle, Boss",Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=efyw7NC4h4k
Crash Bandicoot ~ Main Menu,Screen,Tough,,"Naughty Dog, Crash Bandicoot",https://www.youtube.com/watch?v=XsVHNnITDR0
